name,green,age,young,water
Altstadt,16,43.4,647,13
Innenstadt,,41.6,1415,
Bahnhofsviertel,4.9,37.5,865,3.3
Westend-Sd,4.2,40.7,2597,0
Westend-Nord,16.6,40,1604,0
Nordend-West,22.5,41.2,4389,0.2
Nordend-Ost,13.6,40.7,4000,0.1
Ostend,16.2,42.5,4401,56.2
Bornheim,35.1,43.2,3758,0
Gutleutviertel,,41.1,1205,
Gallus,1.9,38.6,5737,35.6
Bockenheim,52.9,38.9,7489,0.4
Sachsenhausen-Nord,,40.6,4788,
Sachsenhausen-Sd,57.3,44.7,3591,40.3
Oberrad,42.9,42.8,1843,6.4
Niederrad,10.1,41.7,4170,19.2
Schwanheim,60.5,42.4,2911,95.4
Griesheim,10.4,40,4084,24.9
R?delheim,18.3,41.8,2776,12.1
Hausen,45.6,40.8,1431,3.2
Praunheim,35.1,43.2,2146,14.6
Heddernheim,25,42.1,2482,7
Niederursel,10.9,42.9,1994,5.5
Ginnheim,35.7,40.4,2609,4.9
Dornbusch,13.8,44,2604,0.1
Eschersheim,29.2,42.4,2259,6.9
Eckenheim,,41.9,2398,
Preungesheim,31.8,38.7,1948,0.5
Bonames,45.7,43.1,844,10.2
Berkersheim,81.4,38.9,463,3.1
Riederwald,,42.6,648,
Seckbach,71.8,44.4,1348,0.7
Fechenheim,38.1,39.7,2674,47.6
H?chst,15.8,37,2782,14.5
Nied,45.6,41.1,2878,27.3
Sindlingen,5.3,41.4,1405,25.7
Zeilsheim,3.5,42,1685,2.4
Unterliederbach,4.5,40.6,2295,2.7
Sossenheim,50,40.7,2461,9.8
Nieder-Erlenbach,3.9,42.5,538,4.1
Kalbach-Riedberg,11.8,35.9,1501,7.8
Harheim,30.8,42.4,531,13.9
Nieder-Eschbach,4,42.5,1716,6.3
Bergen-Enkheim,50.9,44.3,2229,7.7
Frankfurter Berg,,39,1070,
